ShortName,var,ll_comp,mean,median,q025,q975,q25,q75
BE,r0_left,c-d-deltah,2.6968928719535756,2.684681664955397,2.0965575423023326,3.344295343969142,2.470686145821505,2.9016852687710086
BE,r0_right,c-d-deltah,0.8328711920686486,0.8244454900262648,0.6012983645539459,1.1062167856998704,0.7383095616613476,0.9085174363544342
BE,r0change,c-d-deltah,0.3127715128521341,0.3081513165970976,0.21182154813922122,0.43223958311082417,0.27235899714970946,0.3483289873790438
FR,r0_left,c-d-deltah,1.7040859827632262,1.6861135996995282,1.4344523781719545,2.043967548645641,1.5988185359688045,1.8019652546876983
FR,r0_right,c-d-deltah,0.716115906752813,0.7110065144694114,0.5461449983948661,0.9024955864400961,0.6485987853462801,0.7785983186143624
FR,r0change,c-d-deltah,0.4236325581844971,0.4191303591034059,0.30494106042249036,0.5588955086703031,0.3752626855808695,0.46831407192773145
GE,r0_left,c-d-deltah,2.685656592333125,2.680665147836291,2.228334582498607,3.1756470280091964,2.5237539896354524,2.824309975454115
GE,r0_right,c-d-deltah,0.5436718879900555,0.5397584741809944,0.3516288259035282,0.7471673783483797,0.46783767409695204,0.6133353785638279
GE,r0change,c-d-deltah,0.20410535709461788,0.19970184100624383,0.12719967211850033,0.29514541430346297,0.17501304379778432,0.23136904990964824
GR,r0_left,c-d-deltah,1.431704826985923,1.4053802025378723,1.0807430682175379,1.90764185564373,1.2853621097861083,1.5665005701226602
GR,r0_right,c-d-deltah,0.504060439157882,0.4906482636592837,0.2727409045967395,0.8326175203702122,0.40155427458909065,0.5899409693618116
GR,r0change,c-d-deltah,0.3602415632335673,0.33963322640519344,0.1773795202340544,0.6406426588279587,0.27465701789830416,0.4281183844638597
JU,r0_left,c-d-deltah,1.5733099926919498,1.5576475728168862,1.2046353439781736,2.0554876384948537,1.411737494728635,1.7108034829590897
JU,r0_right,c-d-deltah,0.6877460010837264,0.667802812180238,0.461817961710267,0.9980357577632311,0.5944895874717416,0.7631505789850073
JU,r0change,c-d-deltah,0.4466199861049686,0.43390309986708986,0.272390068508342,0.688617182939951,0.36626511927100847,0.510571229532145
NE,r0_left,c-d-deltah,1.7113360322487228,1.6993918890293747,1.4811441548661346,1.996279796640343,1.6076955302360594,1.7988741595757622
NE,r0_right,c-d-deltah,0.6643385790115612,0.660747421254752,0.48782276936649405,0.872555616087283,0.5941369112205704,0.732893397437346
NE,r0change,c-d-deltah,0.3908201599585594,0.3862901267123038,0.2718658379141199,0.5468335348638286,0.3397248057567548,0.4358648638394528
TI,r0_left,c-d-deltah,2.255090286697053,2.2571854569315555,1.6885372013521671,2.821566838688458,2.0493386806561604,2.461006616374061
TI,r0_right,c-d-deltah,0.4452361121387669,0.4330050816743697,0.2935782480838758,0.6545718814539323,0.3804020161726854,0.4991694379677437
TI,r0change,c-d-deltah,0.2010288517655634,0.19679614730426997,0.1220055963164528,0.3173691858279307,0.1630546173167978,0.22980512653070856
VD,r0_left,c-d-deltah,2.197148468068869,2.1877106515274884,1.7731525315196912,2.6798678449049773,2.0527366629257644,2.325554164242216
VD,r0_right,c-d-deltah,0.49964229212860284,0.4923035441322317,0.31679395952427303,0.7270974022668668,0.42721696593940306,0.5623964001070834
VD,r0change,c-d-deltah,0.22976171775971874,0.22294196416863332,0.14120568636057523,0.3435388202895756,0.1921979061349615,0.2642847063933678
VS,r0_left,c-d-deltah,2.5931963245070677,2.5755525103793437,2.1059713026301767,3.3159727800403864,2.365780464644124,2.764934570822448
VS,r0_right,c-d-deltah,0.5487843150038239,0.5392526693750985,0.39356457659652344,0.7324269425363641,0.4904727476423132,0.6053100461530783
VS,r0change,c-d-deltah,0.21440720157469154,0.21238792430149708,0.14068364933217825,0.3020224079939815,0.18581291346436846,0.23706540844099028
ZH,r0_left,c-d-deltah,2.41110839313702,2.391968793698905,1.9160591779175098,3.067327173458474,2.1955021470281917,2.5992789419144247
ZH,r0_right,c-d-deltah,0.5288252152050642,0.5239577946353764,0.3476672745051766,0.7423629556712383,0.459058614104061,0.5908677090499024
ZH,r0change,c-d-deltah,0.22228558075712043,0.2175617774868513,0.13658921398117918,0.3320202231548358,0.18911447722996522,0.25322765660593893
